id,seller_pk,contact_id
13,f_10528,0030L00001l22bUQAQ
33,f_11082,0030L00001l3YfJQAU
53,a_249,003E000001dzO67IAE
73,a_330,0030L00001l11ShQAI
93,a_4853,0030L00001jYzELQA0
113,a_4863,0030L00001mUhV9QAK
133,a_1502,0030L00001mUhVdQAK
153,a_40,0030L00001mUhW2QAK
173,a_215,003E000000gFiHCIA0
193,a_23,0030L00001mUhXUQA0
213,a_220,0030L00001mUhYcQAK
233,f_11662,0030L00001lgKedQAE
253,a_1842,0030L00001lj3frQAA
273,f_8988,003E000000ABxscIAD
293,f_9003,003E000000ABxspIAD
313,a_97,003E000000ABxtzIAD
333,a_4,003E000000AFIJ6IAP
353,a_6,003E000000AFIN8IAP
373,a_47,003E000000AFINaIAP
393,a_13,003E000000AFINBIA5
413,a_14,003E000000AFINCIA5
433,a_49,003E000000AFINcIAP
453,a_53,003E000000AFINfIAP
473,a_56,003E000000hSU3eIAG
493,a_59,003E000000AFINlIAP
513,a_33,003E000000AFINNIA5
533,a_34,003E000000AFINOIA5
553,a_37,0030L00001mUhkTQAS
573,a_42,003E000000AFINVIA5
593,a_43,003E000000AFINWIA5
613,a_46,003E000000AFINZIA5
633,a_74,003E000000AFINzIAP
653,a_77,003E000000AFIO2IAP
673,a_78,003E000000AFIO3IAP
693,a_79,003E000000AFIO4IAP
713,a_81,003E000001XfrIwIAJ
733,a_82,003E000000AFIO6IAP
753,a_83,003E000000AFIO7IAP
773,a_87,003E000000AFIOBIA5
793,a_89,003E000000AFIODIA5
813,a_90,003E000000AFIOEIA5
833,a_95,003E000000AFIOIIA5
853,a_96,003E000000AFIOJIA5
873,a_98,003E000000AFIOLIA5
893,a_174,003E000000c8knpIAA
913,a_176,003E000000cjKTVIA2
933,a_188,003E000000e7Ht6IAE
953,a_75,003E000000e9vXQIAY
973,a_199,003E000000eSvLEIA0
993,a_68,003E000000eSwRIIA0
1013,a_123,003E000000exhfgIAA
1033,a_31,0030L00001mUhpJQAS
1053,a_99,003E000000Ft5ahIAB
1073,a_100,003E000000Ft5aiIAB
1093,a_109,003E000000Ft5aoIAB
1113,a_217,003E000000gbbVkIAI
1133,a_223,003E000000gfQ4IIAU
1153,a_2372,003E000000hRAvlIAG
1173,a_58,003E000000AFINkIAP
1193,a_253,003E000000iH7J6IAK
1213,a_259,003E000000iPsI7IAK
1233,a_261,003E000000iQGmsIAG
1253,a_269,003E000000j20dBIAQ
1273,a_112,003E000000F96wjIAB
1293,a_332,003E000000mCvXYIA0
1313,a_358,003E000000pphNdIAI
1333,a_360,003E000000pr515IAA
1353,f_10242,003E000000ppkQTIAY
1373,a_122,003E000000QBdLKIA1
1393,a_116,003E000000QC35gIAD
1413,a_125,003E000000Qt4xXIAR
1433,a_127,003E000000Qt6zLIAR
1453,a_394,003E000000sAVrnIAG
1473,a_133,003E000000SpTRIIA3
1493,f_9032,003E000000SqgzgIAB
1513,a_66,003E000000mC7yGIAS
1533,a_404,003E000000swoEVIAY
1553,a_132,003E000000TUfa1IAD
1573,a_145,003E000000Ufai5IAB
1593,a_143,003E000000VrJnIIAV
1613,a_140,003E000000VrKbUIAV
1633,a_150,003E000000Vs5f2IAB
1653,a_156,003E000000Vs5gSIAR
1673,a_243,003E000000vuMFPIA2
1693,a_105,003E000000yCFwFIAW
1713,a_488,003E0000010wsnVIAQ
1733,a_496,003E0000011vjpeIAA
1753,a_170,003E0000011yB8lIAE
1773,a_52,003E000000AFINeIAP
1793,a_534,003E0000013dRLiIAM
1813,a_550,003E0000014qLJmIAM
1833,a_558,003E0000014rQ9ZIAU
1853,a_574,003E000001632JmIAI
1873,a_592,003E00000165wKoIAI
1893,a_612,003E0000017VJ7DIAW
1913,a_642,003E0000017WEImIAO
1933,a_702,003E0000018lg7lIAA
1953,a_802,003E0000018oybgIAA
1973,a_842,003E000001A7Xe8IAF
1993,a_942,003E000001A9AuhIAF
2013,a_3653,003E000001WMJfrIAH
2033,a_4203,003E000001bnAJaIAM
2053,a_1013,003E000001BQPs2IAH
2073,a_1092,003E000001CQ7syIAD
2093,a_1132,003E000001CRI8bIAH
2113,a_1302,003E000001Dk0GBIAZ
2133,a_91,003E000001dXnVMIA0
2153,a_1512,003E000001EynGrIAJ
2173,a_4293,003E000001fn8MJIAY
2193,f_13232,003E000001GbwuUIAR
2213,a_1542,003E000001GbwxdIAB
2233,a_336,003E000001Hnsh5IAB
2253,a_1962,003E000001KzI7bIAF
2273,a_1972,003E000001L020QIAR
2293,a_2062,003E000001LqAJkIAN
2313,a_2072,003E000001LqAQgIAN
2333,a_2122,003E000001UmYtjIAF
2353,a_428,003E000001LsW5IIAV
2373,a_18,003E000001Mn9YGIAZ
2393,a_2442,003E000001POBBRIA5
2413,a_1522,003E000001QdcdIIAR
2433,a_384,003E000001Qdw62IAB
2453,f_10276,003E000001QfeU6IAJ
2473,f_9345,003E000001QfeWRIAZ
2493,a_110,003E000001QfeXKIAZ
2513,a_104,003E000001QfeY3IAJ
2533,a_2922,003E000001RjcNbIAJ
2553,a_2932,003E000001RjpAxIAJ
2573,a_2882,003E000001RjTNgIAN
2593,a_3022,003E000001Rks5LIAR
2613,a_3062,003E000001SvhPxIAJ
2633,a_3082,003E000001SvhtDIAR
2653,a_3172,003E000001Swpt4IAB
2673,a_3242,003E000001SzFeJIAV
2693,a_3292,003E000001TjomEIAR
2713,a_3312,003E000001Tl6edIAB
2733,a_3322,003E000001TlUITIA3
2753,a_3342,003E000001Uc68EIAR
2773,a_45,003E000001Umb1tIAB
2793,a_183,003E000001Umb2ZIAR
2813,a_153,003E000001UmX9rIAF
2833,a_60,003E000001UmX9SIAV
2853,a_484,003E000001UmXctIAF
2873,a_44,003E000001UmXDGIA3
2893,a_370,003E000001UmXHIIA3
2913,a_450,003E000001UmXHmIAN
2933,a_283,003E000001UmXLgIAN
2953,a_792,003E000001UmXsZIAV
2973,a_772,003E000001UmXuGIAV
2993,a_510,003E000001UmXZdIAN
3013,a_288,003E000001UmXZPIA3
3033,a_902,003E000001UmYCpIAN
3053,a_1492,003E000001Qdx1VIAR
3073,a_1352,003E000001UmYPsIAN
3093,a_159,003E000001UmZsmIAF
3113,a_3362,003E000001VAsiiIAD
3133,a_3352,003E000001VAsf0IAD
