id,state,country
56704683,Paris,FR
56704683,Paris,FR
56704953,NY,US
56704953,NY,US
56777063,NY,US
56791173,NY,US
56707673,CA,US
56707673,CA,US
68681533,,FR
68720853,,NL
56720083,OH,US
56720083,OH,US
56778453,OH,US
56792823,OH,US
68752911,NY,US
68752911,NY,US
68752921,NY,US
69027503,,AU
69064851,,PT
69064861,,PT
69064951,,IT
69065011,,AU
69065101,,IT
69068901,Zealand,DK
69068901,Zealand,DK
69068911,Zealand,DK
69068941,Zealand,DK
69077031,FL,US
69077041,FL,US
83775182,FL,US
69155321,,GB
69307143,NY,US
69307143,NY,US
69307153,NY,US
56603443,ON,CA
56636653,ON,CA
56707703,ON,CA
56707703,ON,CA
69393231,,PL
69483323,FL,US
69483323,FL,US
69545801,Tuscany,IT
56720113,NY,US
56720113,NY,US
56778463,NY,US
69545441,CA,US
69545441,CA,US
69545451,CA,US
70790111,CA,US
56720143,NY,US
56720143,NY,US
56778473,NY,US
56792833,NY,US
69589681,Dordogne,FR
69589681,Dordogne,FR
69589691,Dordogne,FR
69589851,Dordogne,FR
69667263,NY,US
69667283,Sao Paulo,BR
112052992,SP,BR
69704253,NY,US
69704253,NY,US
69704263,NY,US
70300661,NY,US
69706943,,GB
69765341,FL,US
69765341,FL,US
69962191,WI,US
69962191,WI,US
69962201,WI,US
70096533,,GB
56666841,NY,US
56680061,NY,US
56707733,NY,US
56707733,NY,US
70206531,CT,US
70206531,CT,US
70206541,CT,US
70206741,CA,US
70206741,CA,US
70206761,CA,US
56720163,CA,US
56720163,CA,US
56778483,CA,US
56792843,CA,US
70230531,,GB
70230531,,GB
70230541,,GB
70230741,,GB
70362511,FL,US
70362511,FL,US
70362521,FL,US
70476853,NM,US
70476853,NM,US
70476863,NM,US
70493623,TX,US
70493633,PA,US
77144012,PA,US
91330671,TX,US
70578333,CA,US
70578343,CA,US
70650313,CA,US
70583713,CA,US
70583713,CA,US
70583723,CA,US
56603463,Dorset,GB
56707763,Dorset,GB
56707763,Dorset,GB
70891251,NY,US
70891251,NY,US
70891261,NY,US
70922091,AZ,US
70922101,AZ,US
122191072,AZ,US
56667751,CA,US
56681021,CA,US
56720193,NY,US
56720193,NY,US
70936411,,FR
71005311,,ES
71005401,,ES
108376182,,ES
71015471,,FR
71139083,FL,US
71139083,FL,US
71139093,FL,US
71158473,,AT
71193913,IL,US
71193913,IL,US
71193923,IL,US
71194863,CA,US
71194863,CA,US
71194873,CA,US
56707793,CA,US
56707793,CA,US
71346893,,GB
71346893,,GB
71346963,,GB
71620451,,FR
71620531,,FR
107927812,,FR
56667761,TX,US
56681031,TX,US
56720233,TX,US
56720233,TX,US
71620561,,FR
71622091,,ES
71622181,,ES
71622091,,ES
71717331,NY,US
71717331,NY,US
71717341,NY,US
71719131,CA,US
71719141,CA,US
73077612,CA,US
71752503,NY,US
71752503,NY,US
71752513,NY,US
71843801,CA,US
71843801,CA,US
71843811,CA,US
71844031,CA,US
71844041,CA,US
91828822,CA,US
71935161,Kent,GB
71935161,Kent,GB
71935171,Kent,GB
71935191,,GB
56707823,NY,US
56707823,NY,US
56777283,NC,
71948631,England,GB
71948631,England,GB
71948641,CA,US
71950781,Victoria,AU
71950781,Victoria,AU
71950791,Victoria,AU
71953021,Victoria,AU
56667771,LA,US
56681041,LA,US
56720263,LA,US
124974442,CA,US
71979931,NY,US
71979931,NY,US
71979941,NY,US
72016631,NY,US
72016631,NY,US
72016641,NY,US
72017231,CA,US
72017231,CA,US
72017261,CA,US
72078843,NY,US
72078843,NY,US
72078853,NY,US
72096643,Austria,AT
72096643,Austria,AT
72096653,Austria,AT
72096713,Austria,AT
72097363,,FR
72097363,,FR
72097473,,FR
72105823,CA,US
72105823,CA,US
72105833,CA,US
72429703,Pisa,IT
72429703,Pisa,IT
72429713,Pisa,IT
72429943,Pisa,IT
56666851,NY,US
56680071,NY,US
56707853,NY,US
56707853,NY,US
56667781,NY,US
56681051,NY,US
56720293,NY,US
116074852,GTO,MX
72497343,PA,US
72497343,PA,US
72497353,PA,US
72497973,NY,US
72497973,NY,US
72498003,NY,US
72498253,NY,US
72498253,NY,US
72498263,NY,US
72682102,,FR
72682322,,FR
72726331,Bavaria,DE
72726331,Bavaria,DE
72726341,Bavaria,DE
72726751,Bavaria,DE
72742361,,SZ
72750301,NY,US
72750301,NY,US
72750311,NY,US
56707883,CA,US
56707883,CA,US
56777293,CA,US
56791523,CA,US
72818901,IL,US
72818901,IL,US
72818911,IL,US
74247152,IL,US
72819471,FL,US
72819471,FL,US
72819481,FL,US
56720323,,GB
56720323,,GB
56778493,,GB
72948631,Victoria,AU
72948631,Victoria,AU
72948641,Victoria,AU
73025922,TX,US
73025922,TX,US
73025932,TX,US
73030242,NJ,US
73030242,NJ,US
73030252,NJ,US
73051412,East Sussex,GB
73051412,East Sussex,GB
73051422,East Sussex,GB
73052322,East Sussex,GB
73122842,West Kensington,GB
73122842,West Kensington,GB
73122852,Dorset,GB
73123522,Dorset,GB
73140712,CA,US
73140712,CA,US
73140722,CA,US
73321542,TN,US
73321542,TN,US
73321552,TN,US
73326572,CA,US
73326572,CA,US
73326582,CA,US
56666861,NY,US
56680081,NY,US
56707913,NY,US
56707913,NY,US
73503671,Nottinghill,GB
73503671,Nottinghill,GB
73503681,Nottinghill,GB
73504041,Nottinghill,GB
73559861,Zuid-Holland,NL
73559871,Zuid-Holland,NL
73560061,Zuid-Holland,NL
89571262,The Netherlands,NL
56720353,CA,US
56720353,CA,US
56778503,CA,US
56792853,CA,US
73560951,Imperia,IT
73560961,Imperia,IT
73561761,Imperia,IT
73928362,CA,US
73650961,RN,IT
73650961,RN,IT
73650971,RN,IT
73651001,RN,IT
73698621,CA,US
73698621,CA,US
73698651,CA,US
73699281,CA,US
73699281,CA,US
73699291,CA,US
73700741,CA,US
73700741,CA,US
73700751,CA,US
73758392,CA,US
73758392,CA,US
73758402,CA,US
73802342,IDF,FR
73802342,IDF,FR
73802352,IDF,FR
73802532,IDF,FR
74088612,,FR
74091462,NY,US
74091462,NY,US
74091472,NY,US
56707943,CA,US
56707943,CA,US
74097332,CA,US
74097332,CA,US
74097342,CA,US
74133542,,NL
74133552,,HK
74134282,,NL
106550892,,HK
56720383,Montreal,CA
56720383,Montreal,CA
56778513,Montreal,CA
56792863,Montreal,CA
74138522,Catalonia,ES
74138522,Catalonia,ES
74138532,Catalonia,ES
74138622,Catalonia,ES
74145872,,GB
74145872,,GB
74145882,,GB
74146052,,GB
74147542,,GB
74162682,Ontario,CA
74162682,Ontario,CA
74162692,Ontario,CA
74219512,,DE
74220092,,DE
74223012,Bedfordshire,GB
74223012,Bedfordshire,GB
74223022,Bedfordshire,GB
74223272,Bedfordshire,GB
74506561,MN,US
74506561,MN,US
74506571,MN,US
74572041,Noord Brabant,NL
74572041,Noord Brabant,NL
74572051,Noord Brabant,NL
74572401,Noord Brabant,NL
56666411,NY,US
56679891,NY,US
56704983,NY,US
113287072,NY,US
56707973,NY,US
56707973,NY,US
74623821,Florence,IT
74623831,Florence,IT
74623901,Florence,IT
102787412,Firenze,IT
74864661,South Africa,ZA
74864661,South Africa,ZA
74864671,South Africa,ZA
74865001,South Africa,ZA
75410042,Vienna,AT
75410042,Vienna,AT
75410062,Vienna,AT
75410472,Vienna,AT
56667791,LA,US
56681061,LA,US
56720413,LA,US
56720413,LA,US
75512302,,GB
75583681,FL,US
75583681,FL,US
75583691,FL,US
76131651,MI,US
76131651,MI,US
76131661,MI,US
76134951,France,FR
76134951,France,FR
76134961,France,FR
76135311,France,FR
76136401,CA,US
76136401,CA,US
76136411,CA,US
76147131,GA,US
76147131,GA,US
76147141,GA,US
76243191,FL,US
76243191,FL,US
76243201,FL,US
76429131,Alberta,CA
