id,seller_pk,seller_status,seller_status_code,seller_rating,seller_date_registered,seller_date_contract_start,seller_distinguished
2,f_2,closed,closed.voluntary,NULL,1002672775,0,NULL
3,f_3,closed,closed.voluntary,NULL,968188744,0,NULL
4,f_4,closed,closed.voluntary,NULL,968188864,0,NULL
5,f_5,closed,closed.voluntary,NULL,968188976,0,NULL
6,f_6,closed,closed.voluntary,NULL,968189027,0,NULL
7,f_7,closed,closed.voluntary,NULL,968189078,0,NULL
8,f_8,closed,closed.voluntary,NULL,968189160,0,NULL
9,f_9,closed,closed.voluntary,NULL,968189237,0,NULL
10,f_10,closed,closed.voluntary,NULL,968189292,0,NULL
11,f_11,closed,closed.voluntary,NULL,968189427,0,NULL
12,f_12,closed,closed.voluntary,NULL,968189534,0,NULL
13,f_13,closed,closed.voluntary,NULL,968189621,0,NULL
14,f_14,closed,closed.voluntary,NULL,968189670,0,NULL
15,f_15,closed,closed.voluntary,NULL,968189709,0,NULL
16,f_16,closed,closed.voluntary,NULL,973013189,0,NULL
17,f_17,closed,closed.voluntary,NULL,973284150,0,NULL
18,f_18,closed,closed.voluntary,NULL,973284876,0,NULL
19,f_19,closed,closed.voluntary,NULL,973285324,0,NULL
20,f_20,closed,closed.voluntary,NULL,973285722,0,NULL
21,f_21,closed,closed.voluntary,NULL,973285763,0,NULL
22,f_22,closed,closed.voluntary,NULL,973634554,0,NULL
23,f_23,closed,closed.voluntary,NULL,973635068,0,NULL
24,f_24,closed,closed.voluntary,NULL,974133073,0,NULL
25,f_25,closed,closed.voluntary,NULL,974133192,0,NULL
26,f_26,closed,closed.voluntary,NULL,974133745,0,NULL
27,f_27,closed,closed.voluntary,NULL,974134029,0,NULL
28,f_28,closed,closed.voluntary,NULL,974134419,0,NULL
30,f_30,closed,closed.voluntary,NULL,974327310,0,NULL
31,f_31,closed,closed.voluntary,NULL,974423558,0,NULL
32,f_32,closed,closed.voluntary,NULL,974425282,0,NULL
33,f_33,closed,closed.voluntary,NULL,974473928,0,NULL
34,f_34,closed,closed.voluntary,NULL,974483107,0,NULL
35,f_35,closed,closed.voluntary,NULL,975100908,0,NULL
36,f_36,closed,closed.voluntary,NULL,975535165,0,NULL
37,f_37,closed,closed.voluntary,NULL,975711674,0,NULL
38,f_38,closed,closed.voluntary,NULL,975711961,0,NULL
39,f_39,closed,closed.voluntary,NULL,975712121,0,NULL
40,f_40,closed,closed.voluntary,NULL,975712221,0,NULL
41,f_41,closed,closed.voluntary,NULL,975712614,0,NULL
42,f_42,closed,closed.voluntary,NULL,975712784,0,NULL
43,f_43,closed,closed.voluntary,NULL,975712927,0,NULL
44,f_44,closed,closed.voluntary,NULL,976665727,0,NULL
45,f_45,closed,closed.voluntary,NULL,976665864,0,NULL
46,f_46,closed,closed.voluntary,NULL,976666075,0,NULL
47,f_47,closed,closed.voluntary,NULL,976666326,0,NULL
48,f_48,closed,closed.voluntary,NULL,976666438,0,NULL
49,f_49,closed,closed.voluntary,NULL,976666635,0,NULL
